ZCTA,Age_Cat0_Pct,Age_Cat1_Pct,Age_Cat2_Pct,Age_Cat3_Pct,Age_Cat4_Pct,Age_Child_Pct,Age_Adult_Pct,Age_Retired_Pct,Inc_Cat0_Pct,Inc_Cat1_Pct,Inc_Cat2_Pct,Bachelor_Plus_Pct,Black_Pct,Asian_Pct,Hispanic_Pct,Rural_Pct,Population_Density
22901,2.4289915602982237,3.9999999999999996,32.6,5.727128425310542,3.5637059362410923,4.679743582719036,60.3,4.219004621945797,4.049691346263317,3.977810745966149,30.200000000000003,7.231873892705818,3.609247772824463,1.8693630216892496,2.4967888404665706,16.59596704782983,6.434308557022946
22902,2.5298221281347035,3.8078865529319543,43.7,5.310367218940701,2.6645825188948455,4.571651780264984,67.3,3.420526275297414,4.505552130427524,3.975936331171799,26.5,6.730527468185536,3.838626057672271,1.7890447160304817,3.3240275864703785,13.301606747396692,5.91835121515754
22903,2.1447610589527217,4.0,50.3,4.743416490252569,2.569046515733026,4.538722287164087,69.6,3.1304951684997055,5.253570214625479,3.7887247890836524,28.200000000000003,7.829431652425353,3.9467412958305816,3.089922957457343,1.8662638341400202,16.88770305265636,6.250050888501551
22911,2.701851217221259,4.39317652729776,31.1,5.403702434442518,3.63318042491699,5.157518783291051,56.199999999999996,4.159326868617084,3.0166206257996713,4.021773869387265,35.1,7.280109889280518,2.897880297845541,2.211513251851192,2.2014379682367204,28.063364848788428,5.853261341152827
22920,1.9235384061671346,3.9496835316262997,23.3,6.663332499583072,3.5777087639996634,4.39317652729776,57.6,4.78539444560216,3.8340579025361627,4.04305126783455,28.299999999999997,6.196773353931867,1.5832456116050557,0.6928203230275509,2.2568414506414345,100.0,3.901473478644002
22922,1.8973665961010275,5.394441583704471,29.5,5.099019513592785,3.391164991562634,5.718391382198319,51.2,3.9749213828703582,5.263078946776307,4.019980146933238,16.599999999999998,4.43846820423443,5.126988222187825,0.0,0.0,100.0,3.641262191977732
22923,2.280350850198276,3.9115214431215892,25.6,6.670832032063167,3.065941943351178,4.527692569068709,63.900000000000006,3.9496835316263,3.082207001484488,4.147885329150131,27.2,5.639148871948674,3.479169853721751,1.5336189303473893,0.8777690514621629,73.84309831181729,4.582062441088999
22931,2.949576240750525,3.9749213828703582,26.6,6.6332495807108,2.23606797749979,4.949747468305833,64.1,3.391164991562634,2.4698178070456938,3.9646154555473165,41.2,7.05691150575094,2.42535625036333,0.0,1.362932551272764,100.0,2.8766846849085255
22932,2.4698178070456938,4.8270073544588685,26.6,5.890670590009257,3.0495901363953815,5.422176684690384,57.5,3.6193922141707713,4.183300132670378,3.8815637979434374,33.9,7.085195833567341,2.2363407186092386,1.9033745920772687,1.5851839016188927,41.54647435897436,4.323224299305546
22935,1.8973665961010275,4.494441010848846,31.700000000000003,5.787918451395113,3.3316662497915366,4.878524367060187,57.50000000000001,4.33589667773576,4.764451699828638,3.858622228701031,29.7,3.9370039370059056,0.5862103817605492,0.0,0.9572775448236508,100.0,3.699848679536839
22936,2.16794833886788,4.2895221179054435,19.3,6.81175454637056,3.3166247903554,4.806245936279167,55.800000000000004,4.571651780264984,3.146426544510455,3.5380565643793527,55.7,7.516648189186454,2.1956186692810027,0.9332600258641951,2.0819741025435796,98.33092932206883,4.890796864651529
22937,2.345207879911715,4.505552130427524,30.3,5.873670062235365,3.0983866769659336,5.079370039680118,57.1,4.159326868617084,5.630275304103699,3.914021008090819,18.4,4.266145801540309,6.496579309542308,0.9907190567575819,0.0,100.0,3.62709923491433
22938,1.816590212458495,4.868264577855235,31.0,6.041522986797286,2.3664319132398464,5.196152422706632,57.0,4.012480529547776,2.8106938645110393,4.131961425793407,29.9,5.458937625582473,4.851099181145044,0.0,3.388154635894692,100.0,3.606288525718144
22940,3.0495901363953815,3.987480407475377,24.5,6.041522986797286,3.7013511046643495,5.019960159204453,55.6,4.370354676682432,3.0983866769659336,4.3489867805956814,12.799999999999999,5.932958789676531,1.0010731535908712,2.422750674409307,0.0,100.0,3.7892345460215124
22942,2.588435821108957,4.219004621945797,24.5,6.172519744804386,3.5777087639996634,4.949747468305833,55.3,4.483302354291979,4.58257569495584,4.028916756899646,22.7,5.039841267341661,3.3110152121344445,0.5566137575726646,1.4522918346278053,97.6950573154197,4.31189568564146
22943,0.0,2.6076809620810595,19.3,7.77174369109018,3.6742346141747673,2.6076809620810595,71.60000000000001,4.6475800154489,6.4265076052238514,3.8416005411316,12.0,6.0909769331364245,0.0,0.0,2.2511258444537408,100.0,3.9477029822118292
22946,3.591656999213594,4.427188724235731,32.6,5.458937625582473,2.258317958127243,5.70087712549569,52.60000000000001,3.8600518131237567,2.588435821108957,4.102643365036796,32.7,5.75325994545701,3.960590171906697,1.5339299776947408,5.239368319955838,100.0,4.081620174233218
22947,2.073644135332772,3.5071355833500366,21.3,6.340346993658944,4.658325879540847,4.0743097574926725,53.400000000000006,5.458937625582473,3.521363372331802,3.885679030088544,38.9,7.576278769950324,2.4531460894605512,0.0,1.3000541700523185,100.0,4.487990869703196
22949,2.0976176963403033,2.8284271247461903,16.7,6.6105975524153635,5.215361924162119,3.521363372331802,53.6,5.830951894845301,6.58027355054484,3.784189633918261,12.7,4.969909455915671,4.306623799103951,1.2403473458920846,1.4907119849998598,100.0,3.4591016317470196
22952,1.224744871391589,4.732863826479693,22.200000000000003,6.099180272790762,4.0743097574926725,4.888762624632126,53.6,4.732863826479693,3.5355339059327378,4.2456340097683265,17.9,4.58257569495584,1.4506588742936697,0.0,3.017552858349632,100.0,3.9134865030941346
22958,1.3038404810405297,2.6267851073127395,10.6,6.640783086353596,6.049793384901669,2.932575659723036,42.9,6.957010852370434,5.089204259999789,3.6454498961866,35.8,7.334848328356899,1.1859989066577619,0.0,1.148338503526429,100.0,4.357418797320121
22959,1.7888543819998317,3.1937438845342623,19.3,7.19027120489902,3.9749213828703582,3.6606010435446255,59.900000000000006,5.186520991955976,3.9749213828703582,4.009149716158869,29.1,5.06951674225463,3.6611822297106347,0.7989354619369612,0.8832563863180561,100.0,3.5892153742884085
22963,2.1908902300206643,4.230839160261236,28.099999999999998,5.89915248150105,3.8078865529319543,4.764451699828638,55.3,4.701063709417263,3.3316662497915366,4.115779842942166,27.6,6.1400325732035,3.1638663453528313,1.0514407440226743,1.345007518986661,38.133887409908446,4.7962152398149405
22964,2.1908902300206643,5.6656861896861175,18.700000000000003,5.215361924162119,4.110960958218893,6.074537019394976,33.2,5.440588203494177,6.06630035524124,3.929862923556477,12.3,3.7815340802378077,3.0151134457776365,0.0,0.0,100.0,3.086461088983004
22967,2.345207879911715,3.96232255123179,28.900000000000002,6.131883886702357,3.521363372331802,4.604345773288535,57.10000000000001,4.669047011971501,4.381780460041329,4.1713056033582285,16.1,5.656854249492381,3.3353263579259522,0.0,0.8111071056538127,100.0,3.0623272104135313
22968,2.3664319132398464,4.560701700396552,31.4,5.856620185738529,2.792848008753788,5.138093031466052,60.5,3.6055512754639896,3.591656999213594,4.021773869387265,31.2,5.347896782848375,2.423911582558967,1.4976493424687976,2.753611076009067,35.201222618441165,5.558463241183517
22969,0.9486832980505138,4.8166378315169185,18.7,6.363961030678928,4.09878030638384,4.909175083453431,56.5,4.415880433163924,4.415880433163924,4.204692619390966,13.7,4.381780460041329,0.0,0.0,4.112091257848972,100.0,3.0145352363146616
22971,1.8439088914585775,3.6331804249169903,30.400000000000002,6.572670690061993,3.1622776601683795,4.0743097574926725,68.80000000000001,3.847076812334269,5.89915248150105,3.9926809084456005,10.9,4.427188724235731,4.930823734440269,0.0,1.0930430596399217,100.0,3.436680754454117
22973,2.898275349237888,4.183300132670378,27.4,5.805170109479997,3.605551275463989,5.089204259999788,54.199999999999996,4.460941604639093,4.847679857416329,4.04305126783455,19.6,4.230839160261236,2.604031887912624,0.0,1.7788924365619652,79.0179292521402,4.135394975535547
22974,2.5099800796022267,4.230839160261236,35.5,5.648008498577175,2.8809720581775866,4.919349550499537,64.69999999999999,3.3166247903554,4.0743097574926725,3.8877303128591016,34.800000000000004,4.626013402488151,4.269325260918601,0.4834058944231516,2.7345566880972703,100.0,5.059176269873455
22976,3.9370039370059056,5.310367218940701,36.4,4.347413023856832,1.0488088481701516,6.610597552415364,55.300000000000004,1.0488088481701516,5.2345009313209605,4.286341384539473,0.0,2.949576240750525,0.0,1.4468578871373852,5.32366273003127,100.0,2.7731495859805046
23015,2.0248456731316584,4.888762624632127,32.0,5.779273310719955,2.5495097567963922,5.291502622129181,60.3,3.40587727318528,3.7815340802378077,3.9180050771056933,35.4,5.495452665613635,2.0834028925505055,0.8316422940894648,0.7721604852164119,100.0,3.9366184219690092
23022,2.9664793948382653,4.58257569495584,37.8,4.43846820423443,3.5777087639996634,5.458937625582473,57.5,3.5777087639996634,4.516635916254486,3.960813169597578,27.3,5.089204259999788,7.142749325331829,0.0,2.0187797547313595,100.0,3.8984837961056167
23024,2.073644135332772,4.505552130427524,25.1,6.268971207462992,3.331666249791536,4.959838707054898,59.800000000000004,3.96232255123179,4.538722287164087,4.04305126783455,22.4,4.701063709417263,3.2376121954774058,0.6478727352742523,1.2825456818290901,100.0,4.325797385417282
23038,3.3763886032268267,3.5071355833500366,21.5,6.640783086353597,3.255764119219941,4.868264577855234,57.0,4.381780460041329,6.767569726275452,3.520460802488973,20.4,4.171330722922842,6.460799910527409,0.915810939779251,0.8798826901281197,100.0,3.016054070833154
23055,0.9486832980505138,4.538722287164087,24.2,5.890670590009257,4.427188724235731,4.636809247747852,52.0,5.1478150704935,0.0,4.439115601658009,15.3,5.375872022286245,5.615434181369786,0.0,3.429224676444094,100.0,4.283285251617656
23065,2.258317958127243,4.58257569495584,25.0,5.89915248150105,3.7682887362833544,5.10881590977792,48.99999999999999,5.0,3.255764119219941,4.037774210733707,32.8,4.415880433163924,3.06528516689107,0.0,0.0,100.0,4.557063094783856
23084,2.6267851073127395,4.427188724235731,26.599999999999998,6.066300355241241,3.1780497164141406,5.1478150704935,59.19999999999999,3.7815340802378077,3.7682887362833544,4.301358731606427,12.0,5.513619500836088,2.929590887572748,2.1821789023599236,0.0,100.0,3.7773482179316002
23093,2.3664319132398464,4.0124805295477755,30.6,6.131883886702357,3.1780497164141406,4.658325879540846,61.5,4.09878030638384,4.571651780264984,4.115779842942166,17.9,4.626013402488151,4.442976031795106,0.7023568498049515,1.5326682995723429,100.0,4.104854862372974
23102,1.7888543819998317,4.732863826479693,21.099999999999998,6.488451279003334,3.3466401061363023,5.059644256269407,57.099999999999994,4.159326868617084,2.949576240750525,3.9589065913269965,39.0,5.089204259999788,4.043564161998028,0.64119590985393,1.0369516947304251,100.0,4.634243538829584
23117,2.2135943621178655,3.6193922141707717,27.5,6.457553716385176,3.605551275463989,4.242640687119285,60.400000000000006,4.6690470119715,3.9749213828703582,4.012772908528289,28.9,4.795831523312719,3.6231470399033245,1.0318300421712185,1.8402627516552321,100.0,4.118345057021697
23192,2.073644135332772,4.47213595499958,21.7,6.519202405202649,3.391164991562634,4.9295030175464944,57.699999999999996,4.242640687119285,2.9832867780352594,3.8649313978942956,43.5,5.138093031466052,4.13875416428164,0.0,0.9198227656143854,100.0,4.469139068847383
24464,0.0,2.449489742783178,26.4,5.692099788303083,5.941380311005179,2.449489742783178,49.4,6.685805860178712,3.03315017762062,4.382026634673881,10.8,6.058052492344384,0.0,0.0,0.0,100.0,2.337337737351801
24483,0.0,4.847679857416329,26.1,6.488451279003334,2.8809720581775866,4.847679857416329,64.80000000000001,3.420526275297414,2.6076809620810595,4.429625613473161,9.4,2.04939015319192,0.0,0.0,2.175047579686214,100.0,2.141040665744205
24521,2.0,4.171330722922842,24.900000000000002,6.276941930590086,3.7549966711037177,4.626013402488151,57.400000000000006,4.58257569495584,4.909175083453431,4.05871738457895,18.0,4.43846820423443,3.9942487389377423,0.47946330148538413,1.6883645082279117,96.72844175491679,3.844878477329844
24553,2.4899799195977463,4.110960958218893,31.5,5.75325994545701,3.492849839314596,4.806245936279167,56.0,4.560701700396552,4.324349662087931,4.354141431184346,3.5,3.0659419433511785,2.9583977838974973,0.0,0.0,100.0,2.6216153937434816
24562,3.1622776601683795,5.779273310719955,36.0,4.5166359162544865,0.0,6.587867636800241,53.6,1.6733200530681511,3.449637662132068,4.429625613473161,4.2,2.280350850198276,2.759570702287195,0.0,0.0,100.0,3.285778026103841
24590,2.3664319132398464,4.3127717305695645,29.799999999999997,6.115553940568262,2.932575659723036,4.919349550499537,61.5,3.7815340802378072,4.370354676682432,4.162003210695915,16.7,4.277849927241488,2.9335622198972136,0.38771049610008057,0.6130241202150423,100.0,3.853870780524165
24599,2.4899799195977463,4.03732584763727,24.500000000000004,6.148170459575759,3.8987177379235853,4.743416490252569,58.3,4.381780460041329,6.18869937870632,4.005513348515485,6.7,3.40587727318528,4.712582808244939,0.0,0.0,100.0,2.8386758497052407
